question|short_question
"Radius of the moon, in km"|Moon radius
"Age of Martin Luther King at death"|MLK age
"Average number of segments that are illuminated in a digital clock like the one above, if you look at it at a random time"|Clock segments
"Smallest positive integer n where 1 * 2 * 3 * ... * n is bigger than a googol"|googol
"How many pennies are in the above jar?"|pennies
"Fraction of the population of France that lived in the Paris metro area as of January 2013"|paris percentage
"Among all 50 US states, the smallest ratio of (population of largest city)/(population of state)"|State ratios small
"How many meters away is the Voyager 1 spacecraft from Earth, as of 1/25/2020?"|Voyager
"According to elevatorworld.com, how many elevators are there in the US as of 2016?"|Elevators
"Total number of words in the seven Harry Potter books"|Harry Potter words
"Number of food calories in a Big Mac"|Big Mac calories
"How many times more area does Antarctica have than Australia? (We're counting land area for both, not islands or ice sheets)"|Antartica/Australia
"Weight, in kilograms, of an NBA regulation-size basketball made of solid iron"|Iron Basketball
"Total age of all currently living US presidents as of 1/24/2020"|President age
"Density of copper in grams per cubic centimeter"|Copper density
"Among all 50 US states, the largest ratio of (population of largest city)/(population of state)"|State ratios large
"How many visitors to Mount Rushmore were there in 2018?"|Rushmore visitors
"Current number of UN member states"|UN member states
"Population of the united states as of its official population clock on 1/24/2020"|US population
"Number of years in the past it is possible to date something using radiocarbon dating, to one significant figure"|Carbon dating
"Population of Japan, as of January 2020"|Japan population
"If all land area on Earth was divided evenly among the current world population, how many square meters would each person get?"|Meters/person
"Number of visitors to Yellowstone National Park in 2018"|Yellowstone visitors
"Elevation of the highest point in Switzerland, in meters above sea level"|Switzerland height
"Roll a fair 6-sided die until the last 5 rolls have all been either a 1 or a 6. What is the average (not median) number of rolls required before this occurs?"|Die rolls
"To one significant digit, how many LEGO parts had been produced by 2015?"|LEGOs
"Number of words in Genesis in the 1769 edition of the 1611 King James Bible"|Genesis Bible
"Number of billionaires in the US, as of the 2019 Forbes 400 list"|Billionaires
"Volume of lake superior, in teaspoons"|Lake Superior
"Population of Russia (including Crimea), as of January 2020"|Russia population
"Number of white squares in the Sunday NYT crossword on January 19, 2020"|Crossword squares
"Gravity you would feel standing on the surface of Venus, as a fraction of Earth's gravity"|Venus gravity
"The number of Cheerios in a handful that I (an adult male with reasonably large hands) grabbed out of a bag and counted"|Cheerios
"How many articles are in the German language wikipedia as of the 'List of Wikipedias' article on December 13, 2019?"|German wiki
"Number of lines in Edgar Allen Poe's famous poem The Raven"|The Raven
"Number of prime numbers between 1 million and 2 million"|Primes
